"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.125,3.35602878464819,3.584,3.57142857142857,3.625,3.71428571428571,3.66666666666667,3.65833333333333,3.64705882352941,3.55555555555556,3.42105263157895,3.37573385518591,3.375,3.3,3.14285714285714,3.13141001576695,3.28285714285714,3.40909090909091,3.36901111859838,3.32916666666667,3.33333333333333,3.23514705882353,3.125,3.11111111111111,3.05263157894737,3.04878048780488,3.07692307692308,3.11764705882353,3.30585748792271,3.33222222222222
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,1.58998646820027,1.52912621359223,1.6505455273431,1.65166508856608,1.64613265115616,1.6572898781784,1.72273467173087,1.72839676973699,1.73888888888889,1.72273467173087,1.74496644295302,1.74672489082969,1.73588215769555,1.68634064080944,1.69109572326277,1.77044928793465,1.79172211157089,1.7688679245283,1.74876627909776,1.72272470322216,1.69694093311418,1.75953079178886,1.75060240963855,1.81363636363636,1.91603484969407,1.95737109108806,1.94253449699257,1.94740388707618,1.94852941176471,1.94466061392131,1.95050156963079,1.97913043478261,1.97913043478261,1.94943820224719,1.90727272727273,1.95,1.98087431693989,2.01851851851852,2.01868131868132,2.07692307692308,2.02649006622517,1.99725767700278,2.03571428571429,2.05064315025253,2.05878790038123,1.98863636363636,2.09274193548387,2.03829787234043,1.9983948635634,2,2.08333333333333,2.13333333333333,2.15833333333333,2.19465648854962,2.21914008321775,2.22971107446094,2.2075055187638,2.21527777777778,2.2413330868078,2.2938478143551,2.32302675671496,2.30686251440132,2.33333333333333,2.34460396928984,2.38805970149254,2.40719424460432,2.42319490325625,2.43857942132558,2.44956669178598,2.48137183638406,2.45833333333333,2.56592343929159,2.56561417354789,2.58333333333333,2.5977120900682,2.58235294117647,2.63713973653122,2.60157170923379,2.60521582733813,2.67248252512014,2.5609756097561,2.54464285714286,2.49583333333333,2.58257113888048,2.67413514186162,2.78647980214345,2.7428949107733,2.75,2.80612244897959,2.85185185185185,2.84088300758155,2.85188478134531,2.84090909090909,2.82058249721293,2.82747811166351,2.81111111111111,2.85574229691877,2.86955396676314,2.95656465942744,2.99923076923077,3.03187803187803,3.03804145888335,3.10902599381722,3.07873449481195,3.12236286919831,3.14016172506739,3.14763231197772,3.1,3.09155585482968,3.11289561205879,3.15686274509804,3.14256951368118
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16951379763469,1.21555915721232,1.20959843290891,1.24664879356568,1.28525121555916,1.23112767940354,1.36089164307947,1.35779659605149,1.48951612903226,1.4846460900176,1.46975099368716,1.3241469816273,1.48047337278107,1.32337434094903,1.24925595238095,1.30277442702051,1.49509803921569,1.47115384615385,1.47170425682973,1.42294785751162,1.4872355944566,1.48882480173035,1.42955476083789,1.44999697775629,1.44230769230769,1.45878253312957,1.46183981769696,1.49252614174636,1.48883374689826,1.48367029548989,1.48020434227331,1.50018477457502,1.51230832949411,1.5,1.67883211678832,1.66281736718583,1.66550034989503,1.59052247873633,1.60664407313997,1.6,1.59048507462687,1.57367668097282,1.55206428844764,1.49753058149555,1.53049482163406,1.47176470588235,1.40751248375402,1.41079199303742,1.47239438846078,1.49421630817435,1.48913043478261,1.49021739130435,1.51006711409396,1.48747909698997,1.47685907314871,1.49842326472281,1.49526515151515,1.54007398273736,1.55384615384615,1.55603448275862,1.54859335038363,1.61267605633803,1.61055162837667,1.61267605633803,1.58450704225352,1.57566302652106,1.56884023989287,1.58082223713621,1.55993690851735,1.54317684462612,1.54761904761905,1.53341708542714,1.51807228915663,1.51578073089701,1.52663865546218,1.51992585727525,1.51506849315069
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,1.39285714285714,1.47058823529412,1.41666666666667,1.49673202614379,1.4,1.40858655616943,1.62962962962963,1.69333333333333,1.71905737704918,1.75324675324675,1.55870901639344,1.63015572390572,1.72256097560976,1.8047619047619,1.83333333333333,1.86369958275382,1.875,1.88947368421053,1.89483057599475,1.86522262334537,1.85714285714286,1.85230769230769,1.851278700287,1.7875,1.74615384615385,1.71229129822248,1.8,1.8675,1.87336422033995,1.87848101265823,1.83582832740144,1.81066176470588,1.78151260504202,1.82142857142857,1.80722891566265,2.00397812033814,1.9049284049284,2,2.07142857142857,2.12104562104562,2.13090909090909,2.12,2.13606340819022,2.05882352941176,2.05882352941176,2.09211206112425,2.01448109412711,1.9375,1.97385509227614,2,2.11345646437995,2.2,2.31346982661024,2.06599645954665,2.28,2.22857142857143,2.00626959247649,1.88373983739837,2.02796534630569,2.28672316384181,2.03277019616498,2.04282934963869,2.0625,2.04738154613466,2.02833333333333,1.99,2.195,2.27024582825854,2.37463402623841,2.29060455357837,2.2,2.34391534391534,2.06451612903226,2,2.03125,2,2,2,1.96428571428571,1.96428571428571,2,2,1.95833333333333,1.95898103995649,1.96138211382114,1.9471431146359,1.98444444444444,1.99916666666667,1.97346368715084,2,2.07575757575758,2.12666666666667,2.16,2.16025137470542,2.14285714285714,2.16180371352785,2.16626002309798,2.16666666666667,2.16143425539977,2.18181818181818,2.22,2.26736111111111,2.27272727272727,2.22222222222222,2.17693250191445,2.1621054303674,2.21481481481481,2.31696014828545,2.34444444444444,2.27069337545046,2.24570673712021
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,0.949868073878628,0.916880655416972,0.946245136503492,0.902825282423047,0.860655737704918,0.853351955307263,0.825,0.802010050251256,0.804455445544555,0.855263157894737,0.85058886509636,0.875935828877005,0.895587795113556,0.914583333333333,0.954328393183499,0.92806663301363,0.945263157894737,0.964690026954178,0.974680482828837,0.954434001625415,0.948778716460674,0.943478260869565,0.945761108520418,0.979899497487437,0.959459459459459,0.948798328108673,0.956455309396486,0.93628088426528,0.938325991189427,0.976923076923077,1.03270223752151,1.0349932705249,0.993355408388521,0.982418524871355,0.993506493506494,1,1.02112676056338,1.0282414428172,1.01524132091448,1.04035874439462,1.06065665053557,1.06600246490814,1.06510969568294,1.07142857142857,1.06467259498787,1.10601265822785,1.08614881850176,1.071964017991,1.07767722473605,1.08333333333333,1.0916730328495,1.10425724637681,1.09111361079865,1.10454065469905,1.0920245398773,1.08827375948475,1.0936170212766,1.10665249612225,1.12464854732896,1.13157894736842,1.13456842105263,1.13066666666667,1.16261398176292,1.16050686378036,1.16315789473684,1.16103174603175,1.19613117170228,1.184,1.16734972677596,1.19569159843516,1.18792038654763,1.2107861104715,1.22307692307692,1.15549597855228,1.19984520123839,1.13617021276596,1.18534482758621,1.18091088380051,1.18592195868401,1.20224719101124,1.24672927184051,1.24057306655443,1.22678205297017,1.21360432707732,1.22306717363752,1.22916666666667,1.22857142857143,1.23106060606061,1.22727272727273,1.28718535469108,1.27727272727273,1.27208480565371,1.27866972477064,1.30666277258567,1.29726290829176,1.31757575757576,1.29761904761905,1.29499163879599,1.27813504823151,1.27800414937759,1.27970297029703,1.32180293501048,1.32099724799395,1.32336182336182,1.33903233510054
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,1.72,1.8754988028731,1.74040680573782,1.70789729091063,1.70847750865052,1.7246625312409,1.5492003475432,1.62801148600144,1.58055555555556,1.59415113871636,1.50120192307692,1.55,1.50240384615385,1.47327998806485,1.46789485024779,1.47321428571429,1.41736694677871,1.41736694677871,1.50808265702188,1.51324085750315,1.52173913043478,1.5609756097561,1.59328358208955,1.66650334803201,1.69034090909091,1.75961538461538,1.69935232495742,1.72987800124727,1.67910447761194,1.53846153846154,1.52551020408163,1.5,1.49150089577545,1.47368421052632,1.52790519877676,1.65,1.57078081993336,1.60472972972973,1.63157894736842,1.52,1.48397435897436,1.47368421052632,1.6,1.58361728226796,1.58352941176471,1.53846153846154,1.50800361911283,1.49742083295527,1.48773693943597,1.52366946778711,1.66039510818438,1.66666666666667,1.625,1.55715014806391,1.51780250043714,1.5,1.4821069154871,1.46551724137931,1.45916666666667,1.5,1.59858351525018,1.67682926829268,1.66638054363376,1.66666666666667,1.65,1.64285714285714,1.59395973154362,1.58809470250815,1.66487367328103,1.625,1.67577037565317,1.71028037383178,1.74382747140389,1.8,1.90082644628099,1.82926829268293,1.84615384615385,1.86616915422886,1.82142857142857,1.85854123354123,1.81207186810635,1.825,1.78231292517007,1.81140469530116,1.94736842105263,1.9343144654088,1.94210526315789,1.90436117936118,1.90812720848057,1.9679888627115,1.92307692307692,1.89315352697095,1.8659217877095,1.85589519650655,1.86875,1.92,2.06469500924214,2.06797235023041,2.11764705882353,2.08333333333333,2.08673069963589,2.07317073170732,2.05,2.03703703703704,2.08333333333333,2.06169706582078,2.08695652173913,2.13125845737483,2.16666666666667,2.16666666666667,2.14285714285714
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,0.745952677459527,0.747963249162865,0.778246749474222,0.874745977106835,0.841584158415842,0.761904761904762,0.863066538090646,0.892561983471074,0.893959435626102,0.9,0.864197530864197,0.844339622641509,0.833333333333333,0.865998176845943,0.872093023255814,0.877779660050385,0.850662878787879,0.855569155446756,0.840803354707131,0.821584970928093,0.817272727272727,0.811855670103093,0.803658536585366,0.829268292682927,0.849514563106796,0.846153846153846,0.845136921624174,0.850470240430153,0.8539592760181,0.862222222222222,0.86006993006993,0.861759425493716,0.857257326007326,0.853808353808354,0.860381760973792,0.867,0.868695652173913,0.869360902255639,0.868704395413482,0.857843137254902,0.883064516129032,0.881410256410256,0.884732052578362,0.875,0.863597111006437,0.866890380313199,0.869061413673233,0.863930885529158,0.857038657913931,0.876567020250723,0.899729186169999,0.913,0.916372202591284,0.918836140888208,0.90564448188711,0.911532413694518,0.91356530160487,0.92741935483871,0.935374149659864,0.954278598114215,0.961227786752827,0.98384805870271,0.993923611111111,0.996249062265566,0.997267759562842,1.00749276187574,1.02040816326531,1.02068965517241,1.04545454545455,1.0889898989899,1.08545682751946,1.0954954954955,1.13203773584906,1.12032482598608,1.09,1.14025085518814,1.0947278641701,1.0967219315388,1.08556832694764,1.08695652173913,1.09649122807018,1.05555555555556,1.12326685660019,1.18789407313997,1.26021582733813,1.30121527777778,1.26363636363636,1.24562170285855,1.23584905660377,1.21847690387016,1.20994475138122,1.20278337999057,1.18391839889421,1.19113530893471,1.19852941176471,1.21578947368421,1.23363095238095,1.26363636363636,1.24078624078624,1.25735294117647,1.26666666666667,1.28415300546448,1.2658642230451,1.29622652041642,1.30610134436401,1.2946606988005,1.30268199233716,1.32905591200733,1.33678774928775,1.38881118881119,1.43344393893819
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,0.801253357206804,0.808352000491814,0.842959924797464,0.852137506633465,0.920210537574985,0.829047711459951,0.809484873262469,0.748529411764706,0.757352941176471,0.747034208966399,0.747484030873644,0.770020533880904,0.773134328358209,0.761467889908257,0.794392523364486,0.78125,0.776210201288803,0.784023668639053,0.79081516052561,0.792649652739499,0.787531490414487,0.766838156697497,0.783206574243291,0.7721870604782,0.790540540540541,0.788690476190476,0.770056759657425,0.77319587628866,0.780510879848628,0.780234070221066,0.762920426579163,0.769230769230769,0.774430032626754,0.777571624504724,0.777777777777778,0.774047772756617,0.776609886439546,0.786317488262911,0.793507664562669,0.799086757990868,0.777777777777778,0.781458402570068,0.772821576763486,0.762331838565022,0.760694978578417,0.76290855393675,0.756880733944954,0.751547303271441,0.75,0.749594697131388,0.754985754985755,0.766944691163409,0.765765765765766,0.782122905027933,0.798838053740014,0.799252681321015,0.793774338294886,0.794392523364486,0.798095834078312,0.802997858672377,0.81064572425829,0.825420471124371,0.838339466974551,0.850340136054422,0.861111111111111,0.881894041098021,0.868809730668983,0.860970508912071,0.865800865800866,0.911330049261084,0.972036420500404,0.95,0.94836360084262,0.969827586206897,0.967713004484305,0.961538461538462,0.964285714285714,0.881057268722467,0.894066665011436,0.918146956406753,0.917617390562986,0.892064390297098,0.898224210715042,0.930851063829787,0.935219914854006,0.96051227321238,0.979423868312757,1.01988280750435,1.03996366939146,1.05887685925539,1.06303418803419,1.05714285714286,1.05702671312427,1.0466052503464,1.0709163319714,1.08225108225108,1.11031059878322,1.14039644956463,1.16899097621001,1.17775831873905,1.17753338570306,1.19346733668342,1.20124666073019,1.19868049243478,1.1968085106383,1.19346733668342,1.20124666073019,1.20571428571429,1.2135761589404,1.22889305816135,1.25,1.25776877050762
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,2.51107267949836,2.33366102149336,2.34935614268918,2.30612436962852,2.05423171733772,1.93193898573385,1.84379312750156,1.99045698924731,2.01501252578839,1.98412698412698,2.075,1.76221804511278,1.75250972533879,1.75,1.72104926423544,1.69789227166276,1.70261066969353,1.70164292131947,1.75649738029776,1.75301610352835,1.73455990955672,1.70893384395007,1.70670037926675,1.74055462893122,1.74488567990373,1.77142857142857,1.71898355754858,1.71526124900827,1.75644028103044,1.75929549902153,1.74210526315789,1.75428571428571,1.75257731958763,1.76418786692759,1.76678445229682,1.76470588235294,1.77894736842105,1.8,1.8,1.79432019783883,1.7967032967033,1.82432809684542,1.83333333333333,1.90515873015873,1.87534473248759,1.82602921646746,1.94008415553131,1.94074074074074,1.92168674698795,1.92307692307692,1.96509863429439,1.99932795698925,2.02020202020202,2.02896744584386,2.03345920274058,2.01666498524553,2.07509881422925,2.10378681626928,2.08290902919213,2.09925558312655,2.12423979148566,2.09931170108161,2.13796477495108,2.14148642429821,2.18248175182482,2.2,2.24503311258278,2.23933164767392,2.23463383295452,2.27777777777778,2.28803214671064,2.27544910179641,2.27756653992395,2.27110582639715,2.26363636363636,2.24740321057602,2.25109042502974,2.32917214191853,2.2649827680029,2.33530742322091,2.26129237445631,2.25,2.23170731707317,2.30414746543779,2.35470941883768,2.4,2.45026105334802,2.4840859302782,2.5,2.49564806412583,2.4833885209713,2.46485061511424,2.45272727272727,2.41635687732342,2.41666666666667,2.45387453874539,2.48133635202601,2.52352941176471,2.63698630136986,2.65703971119134,2.67405587405587,2.66490765171504,2.67357512953368,2.66666666666667,2.6985214176995,2.72452243189021,2.7061521856449,2.71736375158428,2.70233196159122,2.69115442278861,2.69461077844311,2.72236076475478
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,1.26727145847872,1.23776455026455,1.30403108305002,1.23688616071429,1.10805860805861,1.10005561735261,1.08131487889273,1.07260726072607,1.09863643818868,1.07830494728305,1.01975852114506,1.03448275862069,1.05603045986764,1.06683209263854,1.165,1.10578279266573,1.05833333333333,1.13888888888889,1.09541984732824,1.21535181236674,1.26820086969801,1.26052012492457,1.22184065934066,1.25,1.24499283667622,1.26165803108808,1.25548245614035,1.29201073618302,1.27093422817623,1.29440578383998,1.28900496041523,1.29310344827586,1.32963988919668,1.33211678832117,1.29843363561418,1.3458064516129,1.33808908079152,1.35520559930009,1.35894781599045,1.38888888888889,1.3873447284673,1.37624861265261,1.41839378238342,1.42192347466391,1.42064010450686,1.39132165605096,1.36773136773137,1.37931034482759,1.40865705513283,1.45196506550218,1.37791609393452,1.28983417447729,1.38237396049896,1.38121546961326,1.43478986291486,1.42857142857143,1.4390243902439,1.46420187793427,1.45587638359048,1.49590704011436,1.45719489981785,1.4794921875,1.48401826484018,1.49873203041845,1.52247574156566,1.55251780784568,1.52717775013448,1.54302670623145,1.55751469353484,1.55641433659165,1.52284263959391,1.63154069767442,1.58534532512505,1.52123245881635,1.50008212370964,1.60714285714286,1.59580923362942,1.62519936204147,1.62866449511401,1.64756446991404,1.66666666666667,1.66955767562879,1.704711198013,1.66983824928639,1.65971983953604,1.67921704327524,1.66051660516605,1.66666666666667,1.72680412371134,1.69060773480663,1.68302322191361,1.7292377701934,1.74173027989822,1.75228958394076,1.76278280542986,1.74588073643499,1.75832730342499,1.76614481409002,1.73423234767968,1.74213075060533,1.77935943060498,1.7698428659231,1.77884615384615,1.7751741608613
