SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2634 Michelangelo,Sparks,NV,89434-9211,429900,4,3,Sparks-Foothills,2071,6534,2015,44,208,45,Active,,,NNRMLS,190006629,N,Y,39.561803,-119.6934843
MLS Listing,,Single Family Residential,1124 Woodside Rd,Berkeley,CA,94708,989000,3,2,Berkeley/Albany,1345,7383,1955,44,735,19,Active,,,San Francisco MLS,484789,N,Y,37.8922352,-122.2527377
MLS Listing,,Condo/Co-op,11073 Firethorne Dr,CUPERTINO,CA,95014,1428000,2,2.5,CUPERTINO,1385,1842,1977,45,1031,335,Active,,,MLSListings,ML81751105,N,Y,37.3387979,-122.0332014
MLS Listing,,Single Family Residential,2621 Hoofbeat Ct,Rocklin,CA,95765,634500,4,3,West Rocklin/Zip 95765,2507,5301,2018,45,,84,Active,,,MetroList,19030489,N,Y,38.8283449,-121.2688767
MLS Listing,,Single Family Residential,949 E Duane Ave,SUNNYVALE,CA,94085,1199888,3,2,SUNNYVALE,1050,5472,1954,46,1143,,Active,,,MLSListings,ML81751000,N,Y,37.3887026,-122.0021581
MLS Listing,,Single Family Residential,5366 Proctor Rd,Castro Valley,CA,94546,1249000,3,2.5,Proctor,2840,11582,1977,46,440,,Active,,,Bridge MLS,40864769,N,Y,37.7205806,-122.0683421
MLS Listing,,Townhouse,1818 Dwight Way,Berkeley,CA,94703,899888,2,1.5,Berkeley/Albany,1036,,1987,46,869,500,Active,,,San Francisco MLS,484691,N,Y,37.8630075,-122.2734084
MLS Listing,,Single Family Residential,1160 California Ave,PALO ALTO,CA,94306,2688000,4,3,PALO ALTO,2224,5093,1936,46,1209,,Active,,,MLSListings,ML81750940,N,Y,37.4202681,-122.150145
MLS Listing,,Single Family Residential,1330 Sugar Loaf Ave,Kyburz,CA,95720,335000,2,1,American River Canyon,1134,39117,1959,46,,,Active,,,MetroList,19030092,N,Y,38.771709,-120.311461
MLS Listing,,Condo/Co-op,1445 Fruitdale Ave #325,SAN JOSE,CA,95128,774999,2,2,SAN JOSE,1193,1199,2009,47,650,401,Active,,,MLSListings,ML81750725,N,Y,37.3114417,-121.9161584
MLS Listing,,Townhouse,1865 Midnight Cir,San Jose,CA,95133,979888,3,3,San Jose,1714,1999,2016,47,572,235,Active,,,Bridge MLS,40864469,N,Y,37.367486,-121.866287
MLS Listing,,Single Family Residential,435 Monaco Ave,Union City,CA,94587,888000,4,2.5,Seven Hills,1836,9856,1965,48,484,,Active,,,Bridge MLS,40864402,N,Y,37.5973688,-122.0006923
