RegionName,State,Metro,CountyName,SizeRank,Jan-19,Feb-19,Mar-19,Apr-19,May-19
Salem,MA,Boston-Cambridge-Newton,Essex County,1360,369000,365000,372750,379000,389000
Middle River,MD,Baltimore-Columbia-Towson,Baltimore County,1361,235000,239900,259900,259997.5,264950
Fond du Lac,WI,Fond du Lac,Fond du Lac County,1362,104900,108950,117900,119900,124450
Owasso,OK,Tulsa,Tulsa County,1363,251874.5,239542,252500,249640,255845
Brookfield,WI,Milwaukee-Waukesha-West Allis,Waukesha County,1364,374900,376950,369950,349950,360950
Monroe,NJ,New York-Newark-Jersey City,Middlesex County,1365,399954,409900,409900,412000,425990
Norwich,CT,Norwich-New London,New London County,1366,140000,149000,154950,150000,151000
Beaufort,SC,Hilton Head Island-Bluffton-Beaufort,Beaufort County,1367,259250,259000,264495,269000,269000
Sun City,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,1368,189999,189000,189000,189900,189500
Streamwood,IL,Chicago-Naperville-Elgin,Cook County,1369,199900,199900,204900,204450,208950
Moorhead,MN,Fargo,Clay County,1370,225000,225000,223900,227000,225000
Rancho Palos Verdes,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1371,1349000,1349000,1350000,1399000,1399499.5
Henderson,NC,Henderson,Vance County,1372,145000,133750,145900,149950,162500
Hilliard,OH,Columbus,Franklin County,1373,339945,339945,327450,310000,319900
Mundelein,IL,Chicago-Naperville-Elgin,Lake County,1374,265000,269900,279900,299000,287250
New Berlin,WI,Milwaukee-Waukesha-West Allis,Waukesha County,1375,277000,279450,285000,285000,285000
Los Banos,CA,Merced,Merced County,1376,317500,320000,332900,349900,349900
Wheeling,IL,Chicago-Naperville-Elgin,Cook County,1377,225000,222000,222450,219900,219999.5
Stevens Point,WI,Stevens Point,Portage County,1378,155950,155000,169900,175000,174900
Scarsdale,NY,New York-Newark-Jersey City,Westchester County,1379,1104800,1190000,1175000,1195000,1195000
Amherst,MA,Springfield,Hampshire County,1380,439000,434900,469000,469450,444950
Cleburne,TX,Dallas-Fort Worth-Arlington,Johnson County,1381,179900,179650,190000,192000,192000
Clinton,MD,Washington-Arlington-Alexandria,Prince Georges County,1382,309999.5,309900,307000,310000,315000
Casselberry,FL,Orlando-Kissimmee-Sanford,Seminole County,1382,228500,229900,234900,235000,245500
Kerrville,TX,Kerrville,Kerr County,1384,326250,334000,329900,339000,335000
