RegionName,State,Metro,CountyName,SizeRank,Jan-19,Feb-19,Mar-19,Apr-19,May-19
New York,NY,New York-Newark-Jersey City,Queens County,1,789000,789900,798000,799000,8.00E+05
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,799000,799888,8.00E+05,829999,840000
Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,3,289900,290000,298995,3.00E+05,299900
Chicago,IL,Chicago-Naperville-Elgin,Cook County,4,324999,330000,339900,349900,349000
San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,240999,243999,243500,245000,244925
Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,215000,219037,224990,235000,239900
Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,7,279000,278900,280000,285000,285000
Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,299900,299497,299000,299900,3.00E+05
San Diego,CA,San Diego-Carlsbad,San Diego County,9,689000,689000,699000,705000,711000
Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,370000,379900,389900,399900,399900
Austin,TX,Austin-Round Rock,Travis County,11,375000,389069,392999,4.00E+05,399990
San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,12,929000,950000,989000,998000,998000
Jacksonville,FL,Jacksonville,Duval County,13,209900,210450,219000,219000,221490
Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,14,167000,169900,174900,176495,175990
San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,15,1249000,1295000,1299000,1299000,1295000
Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,16,285694.5,297500,299000,3.00E+05,299781
Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,17,259076.5,259990,259900,263000,264790
Tucson,AZ,Tucson,Pima County,18,225000,219900,224900,227700,229825
Columbus,OH,Columbus,Franklin County,19,164900,169900,181000,189900,189900
Louisville,KY,Louisville/Jefferson County,Jefferson County,20,199950,207000,210000,215000,224900
Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,21,279900,280000,285000,289000,287500
El Paso,TX,El Paso,El Paso County,22,175000,178250,179900,184972.5,184900
Denver,CO,Denver-Aurora-Lakewood,Denver County,23,469900,475000,484900,490000,494900
Seattle,WA,Seattle-Tacoma-Bellevue,King County,24,679000,686500,699880,699950,699950
Memphis,TN,Memphis,Shelby County,25,93000,94700,99000,105000,106500
Boston,MA,Boston-Cambridge-Newton,Suffolk County,26,719000,729000,739000,749000,745000
Washington,DC,Washington-Arlington-Alexandria,District of Columbia,27,575000,585000,589900,599900,599000
Portland,OR,Portland-Vancouver-Hillsboro,Multnomah County,28,449900,450000,459970,465000,467250
Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,29,319900,319900,324900,329000,329500
Sacramento,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,30,312000,319000,325000,330000,335000
Baltimore,MD,Baltimore-Columbia-Towson,Baltimore City,31,150000,149900,159997,169900,169975
Milwaukee,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,32,119900,121900,125000,129900,134900
Fresno,CA,Fresno,Fresno County,33,278000,272400,275000,284900,286000
Omaha,NE,Omaha-Council Bluffs,Douglas County,34,220500,229900,239900,240000,235000
Albuquerque,NM,Albuquerque,Bernalillo County,35,220000,222000,226250,229900,235000
Oklahoma City,OK,Oklahoma City,Oklahoma County,36,189000,185000,189000,189900,190000
Raleigh,NC,Raleigh,Wake County,37,330000,325990,329000,339900,336953
Mesa,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,38,264000,267950,275000,279900,285000
Miami,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,39,480000,479000,479250,475000,475000
Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,40,319900,320000,334046,339620,338000
Kansas City,MO,Kansas City,Jackson County,41,189000,195000,2.00E+05,210000,208000
Colorado Springs,CO,Colorado Springs,El Paso County,42,320000,329900,335500,339900,340000
Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,43,580000,595000,599000,599000,616000
Virginia Beach,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,44,304900,309900,319000,315000,315000
Oakland,CA,San Francisco-Oakland-Hayward,Alameda County,45,650000,669000,689000,698000,699000
Tulsa,OK,Tulsa,Tulsa County,46,174900,175000,184200,195000,198000
Minneapolis,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,47,319900,315000,320000,323000,320000
Honolulu,HI,Urban Honolulu,Honolulu County,48,655000,650000,650000,645000,645000
Cleveland,OH,Cleveland-Elyria,Cuyahoga County,49,79900,78900,79900,79900,82500
New Orleans,LA,New Orleans-Metairie,Orleans Parish,50,325000,326500,333700,345000,339000
Arlington,TX,Dallas-Fort Worth-Arlington,Tarrant County,51,249900,248000,249900,249999,255900
Knoxville,TN,Knoxville,Knox County,52,234900,232500,235000,245000,245200
Baton Rouge,LA,Baton Rouge,East Baton Rouge Parish,53,225000,225000,230000,237102.5,240900
San Juan,LA,Baton Rouge,East Feliciana Parish,54,150000,150000,150000,167700,185000
Wichita,KS,Wichita,Sedgwick County,55,164900,164000,168966,174900,175000
Tampa,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,56,3.00E+05,319000,325000,335000,339000
Aurora,CO,Denver-Aurora-Lakewood,Arapahoe County,57,360000,360000,360000,365000,365000
Riverside,CA,Riverside-San Bernardino-Ontario,Riverside County,58,433900,436000,438450,434945,430000
Bakersfield,CA,Bakersfield,Kern County,59,265000,269700,274900,276400,275000
Cincinnati,OH,Cincinnati,Hamilton County,60,199900,208150,219900,219900,221750
Pittsburgh,PA,Pittsburgh,Allegheny County,61,199900,2.00E+05,209900,223900,225000
Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange County,62,599900,599000,599990,608888,611500
Santa Ana,CA,Los Angeles-Long Beach-Anaheim,Orange County,63,551000,549900,540000,544444,543888
Columbia,SC,Columbia,Richland County,64,184900,184500,189900,189900,189995
Islip,NY,New York-Newark-Jersey City,Suffolk County,65,373517.5,378000,385000,399250,399638.5
Marietta,GA,Atlanta-Sandy Springs-Roswell,Cobb County,66,342220,349900,359000,355000,354900
Vancouver,WA,Portland-Vancouver-Hillsboro,Clark County,67,382900,389900,389000,388250,385900
Corpus Christi,TX,Corpus Christi,Nueces County,68,204900,205000,210000,215000,219000
Saint Louis,MO,St. Louis,Saint Louis City,69,139900,145000,154900,159900,162900
Greensboro,NC,Greensboro-High Point,Guilford County,70,194400,195900,199900,205000,202700
Lexington,KY,Lexington-Fayette,Fayette County,71,249900,250000,250000,259000,264500
Fort Wayne,IN,Fort Wayne,Allen County,72,150166,164900,164900,159900,167000
Silver Spring,MD,Washington-Arlington-Alexandria,Montgomery County,73,399850,399000,415000,425000,425000
Toledo,OH,Toledo,Lucas County,74,79000,75950,79900,84900,87500
Anchorage,AK,Anchorage,Anchorage Borough,75,309000,310000,315000,325000,332450
Saint Paul,MN,Minneapolis-St. Paul-Bloomington,Ramsey County,76,219900,224900,228950,234900,239900
Naples,FL,Naples-Immokalee-Marco Island,Collier County,77,399900,399999,399999,407000,4.00E+05
Durham,NC,Durham-Chapel Hill,Durham County,78,299700,3.00E+05,297500,299000,299900
Tallahassee,FL,Tallahassee,Leon County,79,215215,215000,219900,225000,225000
Stockton,CA,Stockton-Lodi,San Joaquin County,80,295000,296352.5,305000,309000,315000
Plano,TX,Dallas-Fort Worth-Arlington,Collin County,81,374900,379900,389000,389900,389900
Newark,NJ,New York-Newark-Jersey City,Essex County,82,249900,245000,249900,249900,250000
Henderson,NV,Las Vegas-Henderson-Paradise,Clark County,83,364990,360990,368944,370000,369000
Lincoln,NE,Lincoln,Lancaster County,84,244450,255000,269900,259900,259900
Modesto,CA,Modesto,Stanislaus County,85,299900,299950,304288,309900,315000
Reno,NV,Reno,Washoe County,86,434000,430000,429990,435000,438250
Spokane,WA,Spokane-Spokane Valley,Spokane County,87,235000,239900,250000,259925,264900
Chandler,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,88,332990,332745,340000,346997.5,349000
Lubbock,TX,Lubbock,Lubbock County,89,185325,187950,189900,195000,195250
Jersey City,NJ,New York-Newark-Jersey City,Hudson County,90,575000,550000,576919.5,589950,570000
Buffalo,NY,Buffalo-Cheektowaga-Niagara Falls,Erie County,91,89900,94900,93500,107000,113000
Mobile,AL,Mobile,Mobile County,92,154900,154900,163000,159900,165500
Hialeah,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,93,315000,320000,324450,319950,320000
San Bernardino,CA,Riverside-San Bernardino-Ontario,San Bernardino County,94,295000,298000,299500,299900,299000
Chula Vista,CA,San Diego-Carlsbad,San Diego County,95,528000,525000,529000,535000,539900
Saint Petersburg,FL,Tampa-St. Petersburg-Clearwater,Pinellas County,96,279900,278950,284900,285000,299000
Pensacola,FL,Pensacola-Ferry Pass-Brent,Escambia County,97,225000,224999.5,229926.5,229000,225000
Lawrenceville,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,98,245000,241932,245000,249900,250000
Madison,WI,Madison,Dane County,99,296200,299900,299900,299900,299900
Winston-Salem,NC,Winston-Salem,Forsyth County,100,175000,175000,189900,199000,190307.5
Norfolk,VA,Virginia Beach-Norfolk-Newport News,Norfolk City,101,210000,215000,220000,220000,221830
Glendale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,102,250000,249900,249995,254000,257500
Scottsdale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,103,615000,615886.5,599999,602450,599990
Fayetteville,NC,Fayetteville,Cumberland County,104,145000,154900,156900,160000,159900
Boise,ID,Boise City,Ada County,105,334900,339800,349900,359000,349900
Irvine,CA,Los Angeles-Long Beach-Anaheim,Orange County,106,999990,1034495,1011765,998900,977344
Laredo,TX,Laredo,Webb County,107,182998.5,182095,183259,186250,189000
Sarasota,FL,North Port-Sarasota-Bradenton,Sarasota County,108,348825.5,348825,349900,359000,352775
Chesapeake,VA,Virginia Beach-Norfolk-Newport News,Chesapeake City,109,323145.5,324900,328077,334900,332000
Fort Myers,FL,Cape Coral-Fort Myers,Lee County,110,250000,250000,250000,249999,252000
Garland,TX,Dallas-Fort Worth-Arlington,Dallas County,111,219900,223000,220000,220000,224499.5
Spring,TX,Houston-The Woodlands-Sugar Land,Harris County,112,274500,269990,269000,270940,269900
Gilbert,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,113,342495,344900,349975,354945,359000
North Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,114,277366,278000,279900,279990,280000
Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,115,1012445,1000025,1010492.5,1034997.5,999900
Santa Clarita,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,116,570000,575000,575000,585000,589000
Fontana,CA,Riverside-San Bernardino-Ontario,San Bernardino County,117,424900,422794.5,430000,435000,440000
Irving,TX,Dallas-Fort Worth-Arlington,Dallas County,118,359900,362000,363990,374750,372945
Arlington,VA,Washington-Arlington-Alexandria,Arlington County,119,719500,740750,725000,715000,725000
Springfield,MO,Springfield,Greene County,120,139900,144900,154000,160000,164900
Birmingham,AL,Birmingham-Hoover,Jefferson County,121,67900,73340.5,86000,99900,1.00E+05
Greenville,SC,Greenville-Anderson-Mauldin,Greenville County,122,275000,274900,270000,284450,284900
Santa Rosa,CA,Santa Rosa,Sonoma County,123,589000,598900,599925,619750,625000
Oxnard,CA,Oxnard-Thousand Oaks-Ventura,Ventura County,124,524950,529900,539150,545000,551000
Richmond,VA,Richmond,Richmond City,125,239950,259000,264950,269900,280000
Des Moines,IA,Des Moines-West Des Moines,Polk County,126,139900,139900,142500,147500,149900
Ocala,FL,Ocala,Marion County,127,185000,180000,184900,181990,187990
Boca Raton,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,128,399900,413950,405000,419000,419000
Shreveport,LA,Shreveport-Bossier City,Caddo Parish,129,164000,165000,169000,167000,165000
Woodbridge,VA,Washington-Arlington-Alexandria,Prince William County,130,339000,339900,349900,349900,350000
Rochester,NY,Rochester,Monroe County,131,74900,79000,79900,79900,83000
Montgomery,AL,Montgomery,Montgomery County,132,135600,134900,142700,153900,154000
Bradenton,FL,North Port-Sarasota-Bradenton,Manatee County,133,292400,291750,289999,293900,290750
Corona,CA,Riverside-San Bernardino-Ontario,Riverside County,134,500888,499000,499000,5.00E+05,507000
Oceanside,CA,San Diego-Carlsbad,San Diego County,135,565000,569000,567490,573990,569945
Tacoma,WA,Seattle-Tacoma-Bellevue,Pierce County,136,299900,299000,299950,3.00E+05,309950
Grand Rapids,MI,Grand Rapids-Wyoming,Kent County,137,164900,167900,169900,170000,175900
Gainesville,FL,Gainesville,Alachua County,138,216088,221000,229900,234950,231900
Glendale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,139,869000,859999.5,845000,842450,849000
Augusta,GA,Augusta-Richmond County,Richmond County,140,120000,124900,122900,129900,129900
Moreno Valley,CA,Riverside-San Bernardino-Ontario,Riverside County,141,335000,337700,342000,345000,345495
Akron,OH,Akron,Summit County,142,69900,69900,69999,74900,75000
Aurora,IL,Chicago-Naperville-Elgin,Kane County,143,209900,214900,219000,220000,219900
Wilmington,NC,Wilmington,New Hanover County,144,299900,299900,298794,299900,299900
Huntington Beach,CA,Los Angeles-Long Beach-Anaheim,Orange County,145,875000,875000,864900,889925,892000
Huntsville,AL,Huntsville,Madison County,146,251900,256936,257000,260400,259900
Amarillo,TX,Amarillo,Potter County,147,193372.5,194000,198213,199000,199000
Eugene,OR,Eugene,Lane County,148,324900,325000,325000,329000,339900
Salt Lake City,UT,Salt Lake City,Salt Lake County,149,425000,420000,427000,435000,449900
Port Saint Lucie,FL,Port St. Lucie,Saint Lucie County,150,246000,245900,245000,247340,249000
Salinas,CA,Salinas,Monterey County,151,5.00E+05,519000,529950,549000,569000
Little Rock,AR,Little Rock-North Little Rock-Conway,Pulaski County,152,214900,215000,224900,223000,223500
Fort Collins,CO,Fort Collins,Larimer County,153,425000,425000,429700,425995,429900
Hayward,CA,San Francisco-Oakland-Hayward,Alameda County,154,679000,698886,678255,675000,680000
Brownsville,TX,Brownsville-Harlingen,Cameron County,155,144900,145000,145000,146750,149500
Rockford,IL,Rockford,Winnebago County,156,95000,91950,98000,99900,105000
Evansville,IN,Evansville,Vanderburgh County,157,144900,144450,139900,139900,142900
Worcester,MA,Worcester,Worcester County,158,239000,235000,239700,249000,249000
Overland Park,KS,Kansas City,Johnson County,159,4.00E+05,417450,407000,395000,390000
Lancaster,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,160,289000,289950,294990,295700,279000
Salem,OR,Salem,Marion County,161,309900,309900,305000,309950,314900
Garden Grove,CA,Los Angeles-Long Beach-Anaheim,Orange County,162,598000,599900,599000,617000,609945
Grand Prairie,TX,Dallas-Fort Worth-Arlington,Dallas County,163,253500,259250,259900,260000,265000
Beaverton,OR,Portland-Vancouver-Hillsboro,Washington County,164,4.00E+05,415000,414950,425000,429900
Escondido,CA,San Diego-Carlsbad,San Diego County,165,615000,6.00E+05,615000,635000,640000
Providence,RI,Providence-Warwick,Providence County,166,214900,220000,224900,234900,249900
Fort Lauderdale,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,167,489700,499000,497000,499900,5.00E+05
Ontario,CA,Riverside-San Bernardino-Ontario,San Bernardino County,168,437635,438000,447900,445000,449900
Columbus,GA,Columbus,Muscogee County,169,108450,109900,119900,115450,109994
Sioux Falls,SD,Sioux Falls,Minnehaha County,170,229900,225900,229900,230000,232450
Charleston,SC,Charleston-North Charleston,Charleston County,171,378000,378250,376100,379900,382500
Kissimmee,FL,Orlando-Kissimmee-Sanford,Osceola County,172,249900,250000,251990,255990,255000
Chattanooga,TN,Chattanooga,Hamilton County,173,239900,244900,250000,260000,258000
Tempe,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,174,3.00E+05,309500,312000,311250,314900
Murfreesboro,TN,Nashville-Davidson--Murfreesboro--Franklin,Rutherford County,175,286995,289000,288000,292775,289900
Rancho Cucamonga,CA,Riverside-San Bernardino-Ontario,San Bernardino County,176,544950,529900,529000,549800,555000
Cape Coral,FL,Cape Coral-Fort Myers,Lee County,177,265930,264990,262750,261900,259900
Bayamon,LA,Baton Rouge,East Feliciana Parish,178,98000,98900,99450,1.00E+05,1.00E+05
Savannah,GA,Savannah,Chatham County,179,220200,222375,230000,230237.5,233375
Fredericksburg,VA,Washington-Arlington-Alexandria,Spotsylvania County,180,335000,339900,345000,349900,350000
Killeen,TX,Killeen-Temple,Bell County,181,151200,151357.5,163700,159900,159250
Palmdale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,182,325000,324970,325000,330000,330000
Roanoke,VA,Roanoke,Roanoke City,183,175000,179250,185000,189950,196825
Newport News,VA,Virginia Beach-Norfolk-Newport News,Newport News City,184,178000,180000,189900,190000,193000
El Cajon,CA,San Diego-Carlsbad,San Diego County,185,535000,525000,532000,537000,535000
Clarksville,TN,Clarksville,Montgomery County,186,219850,225000,225450,229000,232000
Jackson,MS,Jackson,Hinds County,187,113000,115900,129997.5,133900,135500
Elk Grove,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,188,439694,449000,450000,454950,450000
Peoria,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,189,330400,333995,329990,334900,330000
Sugar Land,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,190,418995,419772.5,424990,424900,420495
Naperville,IL,Chicago-Naperville-Elgin,DuPage County,191,439900,437800,440990,439990,440000
Fairfax,VA,Washington-Arlington-Alexandria,Fairfax County,192,563945,574900,588750,599500,599000
Boynton Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,193,269000,265000,269900,279770,279900
Topeka,KS,Topeka,Shawnee County,194,110000,108500,114900,127000,139561
McKinney,TX,Dallas-Fort Worth-Arlington,Collin County,195,381990,378803.5,376990,379242.5,379900
Lafayette,LA,Lafayette,Lafayette Parish,196,206925,207000,208000,208000,210000
Pembroke Pines,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,197,295000,291000,295000,294950,295000
Edmond,OK,Oklahoma City,Oklahoma County,198,299840,295000,297900,295900,295900
Lakeland,FL,Lakeland-Winter Haven,Polk County,199,195900,199000,199900,199900,201164
Pueblo,CO,Pueblo,Pueblo County,200,219900,227000,225000,224950,224900
Springfield,MA,Springfield,Hampden County,201,159900,155000,159900,164900,164949.5
Carolina,PA,Pittsburgh,Westmoreland County,202,115000,117750,115000,117500,117750
Odessa,TX,Odessa,Ector County,203,240750,250000,262500,265000,249990
Henrico,VA,Richmond,Henrico County,204,299925,305112,305995,319900,318495
Dayton,OH,Dayton,Montgomery County,205,67700,67900,65200,67000,65000
Midland,TX,Midland,Midland County,206,315000,319900,315000,327325,327445
Lakewood,CO,Denver-Aurora-Lakewood,Jefferson County,207,434900,418500,418250,425000,439900
Cumming,GA,Atlanta-Sandy Springs-Roswell,Forsyth County,208,379900,387995,384900,383255.5,383000
Tyler,TX,Tyler,Smith County,209,255000,262473,250000,255000,260000
Pomona,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,210,439400,442900,439999.5,443749.5,445000
Visalia,CA,Visalia-Porterville,Tulare County,211,263773,267900,275845,278500,277400
Cypress,TX,Houston-The Woodlands-Sugar Land,Harris County,212,320990,325000,319900,325000,325000
Round Rock,TX,Austin-Round Rock,Williamson County,213,3.00E+05,304857,309900,309000,306740
Ann Arbor,MI,Ann Arbor,Washtenaw County,214,431375,425000,424900,425000,425000
Whittier,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,215,545000,540000,545000,549900,549900
Kansas City,KS,Kansas City,Wyandotte County,216,117500,118500,125000,129000,129000
Sunnyvale,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,217,1495000,1498000,1500000,1493000,1498000
Hollywood,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,218,319000,325000,320990,320000,325000
Las Cruces,NM,Las Cruces,Dona Ana County,219,193000,193617.5,199900,202424,207875
Edinburg,TX,McAllen-Edinburg-Mission,Hidalgo County,220,189500,189000,188680,189900,194900
Conroe,TX,Houston-The Woodlands-Sugar Land,Montgomery County,221,279900,284540,284265,284065,280990
Lansing,MI,Lansing-East Lansing,Ingham County,222,84100,84900,85000,89900,94900
Cary,NC,Raleigh,Wake County,223,415000,408500,425000,425000,430995
Paterson,NJ,New York-Newark-Jersey City,Passaic County,224,247900,239000,259000,269000,269000
Pasadena,TX,Houston-The Woodlands-Sugar Land,Harris County,225,162899,160950,165000,167250,172000
Beaumont,TX,Beaumont-Port Arthur,Jefferson County,226,179900,186017,189900,197500,194900
Yuma,AZ,Yuma,Yuma County,227,218000,215000,215000,215000,215000
Frisco,TX,Dallas-Fort Worth-Arlington,Collin County,228,494999,489900,489950,485900,486990
Columbia,MO,Columbia,Boone County,229,229838.5,229900,238900,236900,229900
Syracuse,NY,Syracuse,Onondaga County,230,74900,84900,84900,92000,97450
Pasadena,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,231,879000,895000,879500,898000,898950
Bridgeport,CT,Bridgeport-Stamford-Norwalk,Fairfield County,232,185150,186250,189000,189900,199900
Macon,GA,Macon-Bibb County,Bibb County,233,129900,129900,134900,140000,139995
Canton,OH,Canton-Massillon,Stark County,234,116450,119900,124875,129700,132500
Newark,DE,Philadelphia-Camden-Wilmington,New Castle County,235,229900,239900,243699.5,249900,258450
Mesquite,TX,Dallas-Fort Worth-Arlington,Dallas County,236,190000,195000,193000,194900,198000
Renton,WA,Seattle-Tacoma-Bellevue,King County,237,569000,574950,579000,575000,565000
Metairie,LA,New Orleans-Metairie,Jefferson Parish,238,279950,285000,289000,283000,284900
Santa Maria,CA,Santa Maria-Santa Barbara,Santa Barbara County,239,415000,419900,419900,419995,419900
Torrance,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,240,791000,799000,825000,837000,849000
Clearwater,FL,Tampa-St. Petersburg-Clearwater,Pinellas County,241,259000,258750,250000,265000,267500
Fullerton,CA,Los Angeles-Long Beach-Anaheim,Orange County,242,639000,650000,657671,674999,659000
McAllen,TX,McAllen-Edinburg-Mission,Hidalgo County,243,215000,215495,215990,218000,217750
Orange,CA,Los Angeles-Long Beach-Anaheim,Orange County,244,725000,722450,7.00E+05,712500,715000
Compton,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,245,399900,399000,399900,399999.5,410000
Hampton,VA,Virginia Beach-Norfolk-Newport News,Hampton City,246,183950,185000,184990,182000,179900
Bellevue,WA,Seattle-Tacoma-Bellevue,King County,247,938880,970880,999950,999344,975000
Inglewood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,248,549900,549900,549900,549900,545000
Kent,WA,Seattle-Tacoma-Bellevue,King County,249,429900,429950,437975,429725,430000
West Valley City,UT,Salt Lake City,Salt Lake County,250,275000,278500,286400,289900,294900
Olathe,KS,Kansas City,Johnson County,251,374000,380500,369950,369950,354950
Warren,MI,Detroit-Warren-Dearborn,Macomb County,252,115000,114900,118000,124900,127500
Miramar,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,253,329000,330000,339000,338500,340000
Thornton,CO,Denver-Aurora-Lakewood,Adams County,254,399900,395000,399900,390000,395000
Abilene,TX,Abilene,Taylor County,255,179900,183700,183950,194900,194900
Billings,MT,Billings,Yellowstone County,256,249900,249900,249900,249900,252500
Concord,CA,San Francisco-Oakland-Hayward,Contra Costa County,257,549950,549999,567000,589000,590000
Cedar Rapids,IA,Cedar Rapids,Linn County,258,155000,159000,164900,167000,170000
Bloomington,IN,Bloomington,Monroe County,259,255000,262500,269900,279900,274900
Boulder,CO,Boulder,Boulder County,260,849950,850000,849900,849900,850000
Sterling Heights,MI,Detroit-Warren-Dearborn,Macomb County,261,204900,204900,205000,207000,215000
Saginaw,MI,Saginaw,Saginaw County,262,79900,82000,82500,92500,90000
Ramapo,NY,New York-Newark-Jersey City,Rockland County,263,499900,499900,499000,499900,515000
Carrollton,TX,Dallas-Fort Worth-Arlington,Denton County,264,329990,329999.5,327000,325000,324950
Coral Springs,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,265,374999,369999,376000,384850,384999
Thousand Oaks,CA,Oxnard-Thousand Oaks-Ventura,Ventura County,266,775000,789000,799000,799000,8.00E+05
Victorville,CA,Riverside-San Bernardino-Ontario,San Bernardino County,267,265000,267000,269000,269000,269900
Roseville,CA,Sacramento--Roseville--Arden-Arcade,Placer County,268,489000,489950,499000,505490,499900
Surprise,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,269,265000,265000,265000,269500,269900
New Haven,CT,New Haven-Milford,New Haven County,270,179900,181000,190000,209900,214900
Hamilton,OH,Cincinnati,Butler County,271,231440,229000,225000,225000,230000
Waco,TX,Waco,McLennan County,272,178450,184800,194900,196200,195000
Simi Valley,CA,Oxnard-Thousand Oaks-Ventura,Ventura County,273,599000,599000,599999.5,610000,612250
Stamford,CT,Bridgeport-Stamford-Norwalk,Fairfield County,274,549000,555000,565000,569999,579900
Pearland,TX,Houston-The Woodlands-Sugar Land,Brazoria County,275,299000,299000,299900,298000,290000
Elizabeth,NJ,New York-Newark-Jersey City,Union County,276,279450,289450,295000,299000,299900
Denton,TX,Dallas-Fort Worth-Arlington,Denton County,277,275900,274900,274821,274990,279900
Santa Fe,NM,Santa Fe,Santa Fe County,278,521000,499000,499000,499000,500688.5
Gainesville,GA,Gainesville,Hall County,279,299897.5,299900,302517.5,315950,314900
Springfield,IL,Springfield,Sangamon County,280,115000,115000,120500,127500,125799.5
Allentown,PA,Allentown-Bethlehem-Easton,Lehigh County,281,124900,119950,125000,139000,139900
Lake Charles,LA,Lake Charles,Calcasieu Parish,282,219900,218900,221500,224900,227500
Flint,MI,Flint,Genesee County,283,39900,38900,39900,41000,44900
Frederick,MD,Washington-Arlington-Alexandria,Frederick County,284,345000,349900,344630,339000,347990
Hartford,CT,Hartford-West Hartford-East Hartford,Hartford County,285,144900,145000,149900,149900,149900
Murrieta,CA,Riverside-San Bernardino-Ontario,Riverside County,286,437900,439000,440000,445000,445000
Temecula,CA,Riverside-San Bernardino-Ontario,Riverside County,287,504900,508500,5.00E+05,519000,519950
Hemet,CA,Riverside-San Bernardino-Ontario,Riverside County,288,275000,269999,275000,277639.5,280900
East Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,289,470000,479900,489000,492000,499000
Joliet,IL,Chicago-Naperville-Elgin,Will County,290,169000,164900,170000,169900,169900
Vallejo,CA,Vallejo-Fairfield,Solano County,291,402499.5,417198,418444,424990,428000
Santa Clara,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,292,1268888,1199999,1199499.5,1268000,1248000
Concord,NC,Charlotte-Concord-Gastonia,Cabarrus County,293,279500,277490,289000,285990,295000
Amherst,NY,Buffalo-Cheektowaga-Niagara Falls,Erie County,294,219900,219900,217900,234500,235000
Athens,GA,Athens-Clarke County,Clarke County,295,213950,212450,214900,215000,215250
Falls Church,VA,Washington-Arlington-Alexandria,Fairfax County,296,570600,625000,599450,619727,644950
Norman,OK,Oklahoma City,Cleveland County,297,237000,234500,230000,235000,232195
Wilmington,DE,Philadelphia-Camden-Wilmington,New Castle County,298,164900,160000,179900,190000,199900
Nampa,ID,Boise City,Canyon County,299,262990,264493,266445,268990,276752.5
Berkeley,CA,San Francisco-Oakland-Hayward,Alameda County,300,992000,910000,950000,992000,998899
Westminster,CO,Denver-Aurora-Lakewood,Adams County,301,385000,388000,389900,389999.5,395000
Rochester,MN,Rochester,Olmsted County,302,269950,283000,279900,275500,275000
Clovis,CA,Fresno,Fresno County,302,370900,379990,377302,379000,373245
Stone Mountain,GA,Atlanta-Sandy Springs-Roswell,Dekalb County,304,165000,165900,175000,179000,175000
