SizeRank,RegionID,RegionName,RegionType,StateName,2019-01,2019-02,2019-03,2019-04,2019-05
121,24960,Greenville,City,SC,205,216,282,277,300
122,26967,Santa Rosa,City,CA,101,110,146,147,185
123,13150,Oxnard,City,CA,72,84,100,107,126
124,6752,Richmond,City,VA,178,189,243,266,300
125,17759,Des Moines,City,IA,223,179,225,305,301
126,53673,Ocala,City,FL,604,516,487,452,585
127,10477,Boca Raton,City,FL,736,633,641,573,694
128,40897,Shreveport,City,LA,243,245,272,245,246
129,14701,Woodbridge,City,VA,175,188,263,256,316
130,13550,Rochester,City,NY,88,99,100,96,125
131,32931,Montgomery,City,AL,247,246,256,266,237
132,44282,Bradenton,City,FL,529,477,459,379,393
133,24225,Corona,City,CA,,184,195,209,251
134,6285,Oceanside,City,CA,,179,171,213,218
135,27362,Tacoma,City,WA,193,121,181,163,249
136,11671,Grand Rapids,City,MI,88,85,141,135,173
137,24821,Gainesville,City,FL,,234,313,238,278
138,34937,Yonkers,City,NY,103,114,142,159,170
139,45457,Glendale,City,CA,89,88,93,94,119
140,10210,Augusta,City,GA,202,156,199,177,257
141,25981,Moreno Valley,City,CA,156,159,155,138,172
142,30141,Akron,City,OH,160,168,222,235,299
143,10215,Aurora,City,IL,127,157,201,216,245
144,21320,Wilmington,City,NC,280,285,305,397,406
145,25218,Huntington Beach,City,CA,,141,190,166,184
146,12014,Huntsville,City,AL,202,190,276,212,289
147,16753,Amarillo,City,TX,228,242,232,206,261
148,38438,Eugene,City,OR,133,104,157,168,232
149,6909,Salt Lake City,City,UT,125,134,163,222,259
150,33501,Port Saint Lucie,City,FL,571,492,526,397,467
151,54288,Salinas,City,CA,77,69,69,82,68
152,52998,Little Rock,City,AR,290,260,313,324,297
153,4764,Fort Collins,City,CO,,192,204,269,272
154,18518,Hayward,City,CA,,91,111,112,118
155,51167,Brownsville,City,TX,,89,93,76,91
156,47426,Rockford,City,IL,106,117,139,180,213
157,14724,Worcester,City,MA,89,77,87,100,125
158,40202,Overland Park,City,KS,121,143,178,214,204
159,5534,Lancaster,City,CA,248,216,221,235,282
160,20317,Salem,City,OR,,197,236,249,328
161,24832,Garden Grove,City,CA,74,79,88,86,76
162,31821,Grand Prairie,City,TX,152,130,121,134,158
163,30381,Beaverton,City,OR,132,121,163,172,196
164,11337,Escondido,City,CA,,132,165,166,174
165,26637,Providence,City,RI,76,94,128,124,159
166,31606,Fort Lauderdale,City,FL,627,446,449,415,448
167,13108,Ontario,City,CA,116,106,113,128,130
168,17539,Columbus,City,GA,189,174,191,161,203
169,7087,Sioux Falls,City,SD,176,204,239,306,406
170,4054,Charleston,City,SC,,439,480,433,445
171,18847,Kissimmee,City,FL,328,337,348,293,324
172,37837,Chattanooga,City,TN,247,209,284,223,254
173,47958,Tempe,City,AZ,167,173,165,151,203
174,19523,Murfreesboro,City,TN,258,194,237,262,318
175,40492,Rancho Cucamonga,City,CA,,151,171,167,178
176,30742,Cape Coral,City,FL,738,604,594,534,474
177,16921,Bayamon,City,LA,25,32,29,28,16
178,47584,Savannah,City,GA,220,228,241,215,262
179,11529,Fredericksburg,City,VA,179,190,255,262,273
180,5424,Killeen,City,TX,163,140,157,185,192
181,40227,Palmdale,City,CA,219,189,206,209,230
182,6792,Roanoke,City,VA,142,145,212,192,208
183,26140,Newport News,City,VA,178,210,216,232,253
184,38333,El Cajon,City,CA,,92,121,111,156
185,10843,Clarksville,City,TN,346,335,335,367,478
186,32179,Jackson,City,MS,,140,154,111,119
187,17950,Elk Grove,City,CA,,115,140,144,195
188,40298,Peoria,City,AZ,,302,360,286,332
189,41114,Sugar Land,City,TX,171,177,239,225,258
190,39931,Naperville,City,IL,,256,312,307,291
191,4655,Fairfax,City,VA,93,103,144,169,192
192,30559,Boynton Beach,City,FL,516,478,431,405,476
193,41256,Topeka,City,KS,125,97,173,205,186
194,32783,McKinney,City,TX,,309,367,351,424
195,39312,Lafayette,City,LA,194,171,213,177,228
196,19892,Pembroke Pines,City,FL,302,291,283,269,258
197,38328,Edmond,City,OK,,299,369,374,379
198,25483,Lakeland,City,FL,199,209,214,161,206
199,47250,Pueblo,City,CO,183,158,164,186,189
200,7221,Springfield,City,MA,103,94,100,111,117
201,44452,Carolina,City,PA,26,31,41,29,29
202,6286,Odessa,City,TX,125,111,100,117,148
203,182023,Henrico,City,VA,118,120,167,157,182
204,31184,Dayton,City,OH,111,113,125,117,149
205,19360,Midland,City,TX,,211,212,235,322
206,5519,Lakewood,City,CO,129,134,152,146,188
207,44821,Cumming,City,GA,297,508,564,407,442
208,10071,Alexandria,City,VA,,119,134,153,162
209,41324,Tyler,City,TX,,111,148,136,156
210,20008,Pomona,City,CA,60,102,71,67,72
211,21114,Visalia,City,CA,,156,193,178,175
212,38119,Cypress,City,TX,281,257,355,333,346
213,26857,Round Rock,City,TX,97,128,152,192,208
214,8097,Ann Arbor,City,MI,,113,196,173,234
215,14634,Whittier,City,CA,78,98,104,92,98
216,39191,Kansas City,City,KS,81,81,72,121,120
217,54626,Sunnyvale,City,CA,,76,100,93,117
218,32060,Hollywood,City,FL,382,333,326,318,313
219,25514,Las Cruces,City,NM,154,167,148,149,164
